title,year,certificate,duration,genre,rating,description,stars,votes
Feel Good,(20202021),TV-MA,23 min,"Comedy, Drama, Romance",7.2,"Mae and George are so loved-up they haven't spent a moment apart since they met. But when George goes away to a wedding, Mae realises that she's forgotten how to be on her own.","['Ally Pankiw', '| ', '    Stars:', 'Mae Martin, ', 'Charlotte Ritchie, ', 'Lisa Kudrow, ', 'Sophie Thompson']",318
Feel Good,(20202021),TV-MA,23 min,"Comedy, Drama, Romance",7.6,"As their relationship continues to heat up at home, Mae is growing increasingly insecure about George's public attitude toward her. Things reach a climax when they attend a house party.","['Ally Pankiw', '| ', '    Stars:', 'Mae Martin, ', 'Charlotte Ritchie, ', 'Sophie Thompson, ', 'Tom Andrews']",309
Feel Good,(20202021),TV-MA,23 min,"Comedy, Drama, Romance",7.6,"Mae learns that her parents are visiting the UK but haven't thought to tell her. They're in Blackpool, scattering the cat's ashes. An incensed Mae hotfoots it to the North to join them, taking George with her for moral support.","['Ally Pankiw', '| ', '    Stars:', 'Mae Martin, ', 'Charlotte Ritchie, ', 'Lisa Kudrow, ', 'Sophie Thompson']",288
The Protector,(20182020),TV-MA,,"Action, Fantasy, Sci-Fi",7.0,"Vizier, the mysterious leader of the Immortals, curbs Rya's ambitions and lures Hakan into a trap using Levent. Faysal makes a vindictive decision.","['Umut Aral', '| ', '    Stars:', 'agatay Ulusoy, ', 'Hazar Ergl, ', 'Okan Yalabik, ', 'Engin ztrk']",384
The Protector,(20182020),TV-MA,,"Action, Fantasy, Sci-Fi",7.1,Hakan and the Loyal Ones hatch a scheme to gain Rya's allegiance. Vizier demands Faysal's help in retrieving the last piece of the key.,"['Umut Aral', '| ', '    Stars:', 'agatay Ulusoy, ', 'Hazar Ergl, ', 'Okan Yalabik, ', 'Funda Eryigit']",371
Trinkets,(20192020),TV-MA,27 min,"Comedy, Crime, Drama",7.6,"Anxious about returning home, Elodie enjoys some sticky-fingered bonding with her best friends. Meanwhile, Moe's impetuousness causes concern.","['John Fortenberry', '| ', '    Stars:', 'Brianna Hildebrand, ', 'Kiana Madeira, ', 'Quintessa Swindell, ', 'Brandon Butler']",144
Trinkets,(20192020),TV-MA,26 min,"Comedy, Crime, Drama",7.5,"Moe's relationship with Tabitha wobbles when a secret is accidentally revealed, and Elodie looks for an after-school activity to placate her dad.","['Sherwin Shilati', '| ', '    Stars:', 'Brianna Hildebrand, ', 'Kiana Madeira, ', 'Quintessa Swindell, ', 'Brandon Butler']",139
Trinkets,(20192020),TV-MA,27 min,"Comedy, Crime, Drama",7.9,Being grounded doesn't stop Elodie from trying to bump into her crush at a Halloween party or asking Moe and Tabitha along to be her costumed backup.,"['Sherwin Shilati', '| ', '    Stars:', 'Brianna Hildebrand, ', 'Kiana Madeira, ', 'Quintessa Swindell, ', 'Brandon Butler']",154
Trinkets,(20192020),TV-MA,27 min,"Comedy, Crime, Drama",7.7,"Moe struggles to be the kind of girlfriend Noah needs, Tabitha feels stung after being racially profiled , and Elodie takes a chance with Jillian.","['Ayoka Chenzira', '| ', '    Stars:', 'Brianna Hildebrand, ', 'Kiana Madeira, ', 'Quintessa Swindell, ', 'Brandon Butler']",142
Trinkets,(20192020),TV-MA,27 min,"Comedy, Crime, Drama",7.8,"As Elodie marks a milestone in her personal growth, Moe contends with a blackmail scheme during a robotics competition.","['Ayoka Chenzira', '| ', '    Stars:', 'Brianna Hildebrand, ', 'Kiana Madeira, ', 'Quintessa Swindell, ', 'Brandon Butler']",144
Trinkets,(20192020),TV-MA,30 min,"Comedy, Crime, Drama",7.6,"An impromptu Thanksgiving gathering serves up a surprise guest, a secret romance, and a host of bittersweet memories for Elodie, Tabitha, and Moe.","['Megan Griffiths', '| ', '    Stars:', 'Brianna Hildebrand, ', 'Kiana Madeira, ', 'Quintessa Swindell, ', 'Brandon Butler']",137
Trinkets,(20192020),TV-MA,30 min,"Comedy, Crime, Drama",7.6,Elodie's musical debut sets the stage for drama as Moe and Tabitha reckon with mutual family dysfunction and their own fraught friendship.,"['Megan Griffiths', '| ', '    Stars:', 'Brianna Hildebrand, ', 'Kiana Madeira, ', 'Quintessa Swindell, ', 'Brandon Butler']",134
Trinkets,(20192020),TV-MA,27 min,"Comedy, Crime, Drama",8.5,"In a risky gambit that they hope will heal past hurts and help them move forward together, the trio plans one last epic crime.","['Sara St. Onge', '| ', '    Stars:', 'Brianna Hildebrand, ', 'Kiana Madeira, ', 'Quintessa Swindell, ', 'Brandon Butler']",177
Trinkets,(20192020),TV-MA,24 min,"Comedy, Crime, Drama",8.0,"Fallout from the stolen test plagues Moe, a meet-up with Sabine robs Elodie of something precious, and a chance meeting with an ex opens Tabitha's eyes.","['Sara St. Onge', '| ', '    Stars:', 'Brianna Hildebrand, ', 'Kiana Madeira, ', 'Quintessa Swindell, ', 'Brandon Butler']",138
Feel Good,(20202021),TV-MA,24 min,"Comedy, Drama, Romance",7.8,"The arrival of Noughties heart-throb Arnie Rivers at the comedy club knocks Mae's confidence in her relationship. Arnie tells Mae to be as honest as possible on stage, catapulting her career but collapsing her relationship with George.","['Ally Pankiw', '| ', '    Stars:', 'Mae Martin, ', 'Charlotte Ritchie, ', 'Sophie Thompson, ', 'Tom Andrews']",299
Feel Good,(20202021),TV-MA,24 min,"Comedy, Drama, Romance",7.8,"Mae hits rock bottom after her break-up with George. While George is pining for her, Mae's having casual sex - but her heart's not in it. Mae starts to fall back into her old habits of self-destruction. Is she a lost cause?","['Ally Pankiw', '| ', '    Stars:', 'Mae Martin, ', 'Charlotte Ritchie, ', 'Lisa Kudrow, ', 'Sophie Thompson']",299
Anne with an E,(20172019),TV-PG,44 min,"Drama, Family",8.8,The Cuthberts gain a new perspective on Prince Edward Island,"['Norma Bailey', '| ', '    Stars:', 'Amybeth McNulty, ', 'Geraldine James, ', 'R.H. Thomson, ', 'Lucas Jade Zumann']","1,630"
Power Rangers Beast Morphers,(20192020),TV-Y7,,"Action, Adventure, Comedy",8.6,"When a movie star comes to town, the Rangers' secret identities are unexpectedly threatened.","['Oliver Driver', '| ', '    Stars:', 'Rorrie D. Travis, ', 'Jasmeet Baduwalia, ', 'Jacqueline Scislowski, ', 'Abraham Rodriguez']",31
She-Ra and the Princesses of Power,(20182020),TV-Y7,24 min,"Animation, Action, Adventure",7.9,"The squad finds the Crimson Waste isn't uninhabited after all. Adora decides to trust Waste leader Huntara, and Hordak tells Entrapta about Horde Prime.","['David Dwooman Woo', '| ', '    Stars:', 'Aimee Carrero, ', 'Karen Fukuhara, ', 'Marcus Scribner, ', 'Geena Davis']","1,010"
She-Ra and the Princesses of Power,(20182020),TV-Y7,24 min,"Animation, Action, Adventure",8.2,Catra and Scorpia arrive in the Waste and have no trouble fitting in. Huntara and the squad enter Mara's ship to try to view her message.,"['Jen Bennett', '| ', '    Stars:', 'Aimee Carrero, ', 'Karen Fukuhara, ', 'AJ Michalka, ', 'Marcus Scribner']","1,041"
She-Ra and the Princesses of Power,(20182020),TV-Y7,24 min,"Animation, Action, Adventure",8.3,"Glimmer wants to make a raid on the Fright Zone, and her mother isn't willing to help - but Shadow Weaver is. Adora tries to talk to Entrapta.","['David Dwooman Woo, ', 'Diana Huh', '| ', '    Stars:', 'Aimee Carrero, ', 'Karen Fukuhara, ', 'AJ Michalka, ', 'Marcus Scribner']","1,040"
